,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
147,0.21,0.0,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.66,0.12,0.0,0.49,0.36,0.0,real
148,0.27,0.0,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.61,0.23,0.0,0.46,0.29,0.0,real
149,0.27,0.0,1.74,0.18,0.0,0.0,0.04,0.01,0.0,0.0,0.0,0.49,0.47,0.0,0.48,0.51,0.0,real
150,0.06,0.0,1.42,0.36,0.0,0.0,0.09,0.01,0.0,0.0,0.0,0.45,0.55,0.0,0.32,0.66,0.0,real
151,0.0,0.0,1.13,0.54,0.02,0.0,0.11,0.01,0.0,0.0,0.0,0.29,0.47,0.0,0.38,0.59,0.0,real
152,0.0,0.0,0.63,0.36,0.02,0.0,0.07,0.0,0.0,0.0,0.0,0.15,0.22,0.0,0.27,0.27,0.0,real
153,0.0,0.0,0.32,0.19,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.17,0.04,0.0,real
154,0.0,0.07,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.1,0.05,0.18,0.02,0.0,real
155,0.0,0.07,0.0,0.38,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.28,0.23,0.05,0.26,0.02,0.0,real
156,0.0,0.12,0.0,0.44,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.41,0.4,0.05,0.26,0.02,0.0,real
157,0.02,0.13,0.0,0.29,0.02,0.0,0.21,0.07,0.0,0.0,0.0,0.5,0.3,0.0,0.19,0.0,0.0,real
158,0.15,0.29,0.0,0.45,0.03,0.0,0.2,0.1,0.0,0.0,0.0,0.47,0.22,0.0,0.15,0.0,0.0,real
159,0.2,0.27,0.0,0.59,0.07,0.0,0.18,0.12,0.0,0.0,0.0,0.48,0.05,0.0,0.19,0.0,0.0,real
160,0.34,0.45,0.0,0.63,0.05,0.0,0.15,0.05,0.0,0.0,0.0,0.51,0.05,0.0,0.21,0.0,0.0,real
161,0.37,0.29,0.0,0.47,0.06,0.26,0.15,0.09,0.0,0.0,0.0,0.45,0.0,0.0,0.26,0.0,0.0,real
162,0.56,0.26,0.0,0.27,0.02,0.26,0.13,0.07,0.0,0.0,0.02,0.39,0.0,0.0,0.37,0.0,0.0,real
163,0.47,0.0,0.0,0.0,0.02,0.26,0.14,0.07,0.0,0.0,0.02,0.29,0.0,0.0,0.26,0.0,0.0,real
164,0.37,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.02,0.28,0.0,0.0,0.22,0.0,0.0,real
165,0.13,0.05,0.26,0.31,0.0,0.1,0.19,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.12,0.0,0.0,real
166,0.04,0.14,0.46,0.45,0.0,0.3,0.32,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.16,0.0,0.0,real
167,0.0,0.14,0.46,0.45,0.0,0.3,0.34,0.19,0.0,0.0,0.0,0.71,0.0,0.0,0.1,0.0,0.0,real
168,0.01,0.09,0.2,0.14,0.0,0.28,0.22,0.4,0.0,0.0,0.0,0.64,0.0,0.0,0.04,0.0,0.0,real
169,0.19,0.11,0.0,0.0,0.0,0.27,0.06,0.56,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,real
170,0.49,0.37,0.0,0.0,0.0,0.49,0.03,0.37,0.0,0.0,0.0,0.38,0.0,0.0,0.15,0.0,0.0,real
171,0.74,0.67,0.0,0.0,0.0,0.54,0.0,0.16,0.0,0.0,0.0,0.2,0.0,0.0,0.35,0.0,0.0,real
172,0.74,0.65,0.0,0.0,0.0,0.51,0.0,0.01,0.0,0.0,0.0,0.2,0.0,0.0,0.35,0.0,0.0,real
173,0.48,0.39,0.0,0.0,0.0,0.34,0.0,0.23,0.0,0.0,0.0,0.3,0.0,0.0,0.2,0.07,0.0,real
174,0.23,0.09,0.0,0.0,0.0,0.21,0.0,0.54,0.13,0.0,0.0,0.64,0.0,0.0,0.0,0.07,0.0,real
175,0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.78,0.27,0.0,0.12,1.1,0.0,0.08,0.0,0.07,0.0,real
176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.38,0.0,0.16,1.53,0.0,0.19,0.01,0.0,0.0,real
177,0.0,0.0,0.0,0.0,0.0,0.01,0.0,1.09,0.25,0.0,0.16,1.53,0.0,0.19,0.01,0.0,0.0,real
178,0.0,0.0,0.0,0.0,0.0,0.32,0.0,1.21,0.1,0.0,0.1,1.15,0.0,0.1,0.01,0.0,0.0,real
179,0.0,0.0,0.0,0.0,0.0,0.49,0.0,1.04,0.0,0.0,0.06,0.83,0.0,0.0,0.0,0.0,0.0,real
180,0.0,0.0,0.0,0.0,0.0,0.67,0.0,1.07,0.0,0.0,0.06,0.81,0.0,0.0,0.0,0.0,0.0,real
181,0.0,0.0,0.0,0.0,0.0,0.52,0.0,1.16,0.0,0.0,0.17,1.01,0.0,0.0,0.0,0.0,0.0,real
182,0.08,0.0,0.07,0.0,0.0,0.55,0.0,1.13,0.0,0.0,0.29,1.09,0.0,0.0,0.0,0.0,0.0,real
183,0.22,0.0,0.19,0.0,0.0,0.64,0.0,0.92,0.0,0.0,0.37,1.08,0.0,0.0,0.0,0.0,0.0,real
184,0.22,0.0,0.19,0.0,0.0,0.89,0.0,0.75,0.0,0.0,0.21,1.16,0.0,0.0,0.03,0.0,0.0,real
